            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2451635.500000000, A.D. 2000-Apr-01 00:00:00.0000,  1.328131022021992E+08,  1.770457025296744E+08,  4.439832623266056E+05, -1.845955069394338E+01,  1.660318389849750E+01,  8.015553237421429E-01,
2451636.500000000, A.D. 2000-Apr-02 00:00:00.0000,  1.312121590243819E+08,  1.784721142451524E+08,  5.132162943737879E+05, -1.859897726680827E+01,  1.641543563449272E+01,  8.010492001210556E-01,
2451637.500000000, A.D. 2000-Apr-03 00:00:00.0000,  1.295992580659928E+08,  1.798822607354431E+08,  5.824024999037459E+05, -1.873635063623748E+01,  1.622667805399389E+01,  8.004714595224343E-01,
2451638.500000000, A.D. 2000-Apr-04 00:00:00.0000,  1.279745768641827E+08,  1.812760558432406E+08,  6.515357101624161E+05, -1.887166757659658E+01,  1.603693538000678E+01,  7.998225278749080E-01,
2451639.500000000, A.D. 2000-Apr-05 00:00:00.0000,  1.263382932211817E+08,  1.826534154973459E+08,  7.206097936281487E+05, -1.900492517170033E+01,  1.584623171785717E+01,  7.991028401822549E-01,
2451640.500000000, A.D. 2000-Apr-06 00:00:00.0000,  1.246905851784737E+08,  1.840142577030825E+08,  7.896186564702615E+05, -1.913612081386545E+01,  1.565459104262838E+01,  7.983128417955934E-01,
2451641.500000000, A.D. 2000-Apr-07 00:00:00.0000,  1.230316309914894E+08,  1.853585025322925E+08,  8.585562429104000E+05, -1.926525219189581E+01,  1.546203719815706E+01,  7.974529846423399E-01,
2451642.500000000, A.D. 2000-Apr-08 00:00:00.0000,  1.213616091046637E+08,  1.866860721128915E+08,  9.274165355672687E+05, -1.939231726785984E+01,  1.526859390406110E+01,  7.965237179558189E-01,
2451643.500000000, A.D. 2000-Apr-09 00:00:00.0000,  1.196806981267550E+08,  1.879968906182162E+08,  9.961935558500886E+05, -1.951731426496877E+01,  1.507428476464436E+01,  7.955254845178450E-01,
2451644.500000000, A.D. 2000-Apr-10 00:00:00.0000,  1.179890768065011E+08,  1.892908842563355E+08,  1.064881364370197E+06, -1.964024167897384E+01,  1.487913326961185E+01,  7.944587285123008E-01,
2451645.500000000, A.D. 2000-Apr-11 00:00:00.0000,  1.162869240087430E+08,  1.905679812591908E+08,  1.133474061297268E+06, -1.976109829345897E+01,  1.468316278771145E+01,  7.933239052758791E-01,
2451646.500000000, A.D. 2000-Apr-12 00:00:00.0000,  1.145744186909885E+08,  1.918281118713282E+08,  1.201965786658913E+06, -1.987988317945177E+01,  1.448639656095842E+01,  7.921214831789181E-01,
2451647.500000000, A.D. 2000-Apr-13 00:00:00.0000,  1.128517398802654E+08,  1.930712083382196E+08,  1.270350720663995E+06, -1.999659568190199E+01,  1.428885769486840E+01,  7.908519385050532E-01,
2451648.500000000, A.D. 2000-Apr-14 00:00:00.0000,  1.111190666502314E+08,  1.942972048943864E+08,  1.338623084078118E+06, -2.011123540445063E+01,  1.409056914207022E+01,  7.895157490792597E-01,
2451649.500000000, A.D. 2000-Apr-15 00:00:00.0000,  1.093765780987180E+08,  1.955060377514623E+08,  1.406777138567045E+06, -2.022380219756271E+01,  1.389155369464532E+01,  7.881133900907242E-01,
2451650.500000000, A.D. 2000-Apr-16 00:00:00.0000,  1.076244533258458E+08,  1.966976450861098E+08,  1.474807186930463E+06, -2.033429615230052E+01,  1.369183399987649E+01,  7.866453339062023E-01,
2451651.500000000, A.D. 2000-Apr-17 00:00:00.0000,  1.058628714125828E+08,  1.978719670276501E+08,  1.542707573282570E+06, -2.044271760181481E+01,  1.349143258158432E+01,  7.851120539726173E-01,
2451652.500000000, A.D. 2000-Apr-18 00:00:00.0000,  1.040920113995179E+08,  1.990289456454265E+08,  1.610472683298454E+06, -2.054906712447352E+01,  1.329037183878896E+01,  7.835140283954640E-01,
2451653.500000000, A.D. 2000-Apr-19 00:00:00.0000,  1.023120522658461E+08,  2.001685249360601E+08,  1.678096944537416E+06, -2.065334554478594E+01,  1.308867402554918E+01,  7.818517415446786E-01,
2451654.500000000, A.D. 2000-Apr-20 00:00:00.0000,  1.005231729087731E+08,  2.012906508106531E+08,  1.745574826739475E+06, -2.075555393446261E+01,  1.288636123416339E+01,  7.801256860392716E-01,
2451655.500000000, A.D. 2000-Apr-21 00:00:00.0000,  9.872555212345672E+07,  2.023952710817847E+08,  1.812900842023417E+06, -2.085569360812712E+01,  1.268345539058652E+01,  7.783363626899265E-01,
2451656.500000000, A.D. 2000-Apr-22 00:00:00.0000,  9.691936858337963E+07,  2.034823354501635E+08,  1.880069545032680E+06, -2.095376610495307E+01,  1.247997825675435E+01,  7.764842735026196E-01,
2451657.500000000, A.D. 2000-Apr-23 00:00:00.0000,  9.510480082100497E+07,  2.045517954910677E+08,  1.947075533112973E+06, -2.104977316598388E+01,  1.227595143683949E+01,  7.745699124523773E-01,
2451658.500000000, A.D. 2000-Apr-24 00:00:00.0000,  9.328202720873103E+07,  2.056036046408296E+08,  2.013913446526334E+06, -2.114371673070093E+01,  1.207139638540990E+01,  7.725937660504636E-01,
2451659.500000000, A.D. 2000-Apr-25 00:00:00.0000,  9.145122594027162E+07,  2.066377181833833E+08,  2.080577968635112E+06, -2.123559895361506E+01,  1.186633441027070E+01,  7.705563240042856E-01,
2451660.500000000, A.D. 2000-Apr-26 00:00:00.0000,  8.961257501249860E+07,  2.076540932366347E+08,  2.147063826023296E+06, -2.132542221497526E+01,  1.166078666955810E+01,  7.684580867807860E-01,
2451661.500000000, A.D. 2000-Apr-27 00:00:00.0000,  8.776625220762014E+07,  2.086526887385090E+08,  2.213365788611472E+06, -2.141318911344612E+01,  1.145477416531132E+01,  7.662995637646661E-01,
2451662.500000000, A.D. 2000-Apr-28 00:00:00.0000,  8.591243507558548E+07,  2.096334654328202E+08,  2.279478669831216E+06, -2.149890245176841E+01,  1.124831773007216E+01,  7.640812673663824E-01,
2451663.500000000, A.D. 2000-Apr-29 00:00:00.0000,  8.405130091681430E+07,  2.105963858551667E+08,  2.345397326818198E+06, -2.158256522535023E+01,  1.104143801240233E+01,  7.618037085782556E-01,
